lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
3.9999999999999996e-05,0,,,,,,,
,17,2.3290529251098633,0.21192513406276703,2.3290529251098633,0,,,
,17,,,,0,2.3730831146240234,0.1501736044883728,2.3730831146240234
4.046981127041262e-05,18,,,,,,,
,35,2.2726664543151855,0.31578561663627625,2.2726664543151855,1,,,
,35,,,,1,2.3240771293640137,0.25839120149612427,2.3240771293640137
4.18783254040265e-05,36,,,,,,,
,53,2.218743324279785,0.34071797132492065,2.218743324279785,2,,,
,53,,,,2,2.275735378265381,0.30266207456588745,2.275735378265381
4.422278516828099e-05,54,,,,,,,
,71,2.165252447128296,0.3302990198135376,2.165252447128296,3,,,
,71,,,,3,2.229032039642334,0.32494211196899414,2.229032039642334
4.749860117309176e-05,72,,,,,,,
,89,2.118873119354248,0.3511369526386261,2.118873119354248,4,,,
,89,,,,4,2.187861204147339,0.3229166567325592,2.187861204147339
5.169936085479667e-05,90,,,,,,,
,107,2.058481454849243,0.3506982624530792,2.058481454849243,5,,,
,107,,,,5,2.134047508239746,0.32754626870155334,2.134047508239746
5.6816841029051204e-05,108,,,,,,,
,125,2.00648832321167,0.3334064483642578,2.00648832321167,6,,,
,125,,,,6,2.085190773010254,0.34519675374031067,2.085190773010254
6.284102398809689e-05,126,,,,,,,
,143,1.932072401046753,0.3647729754447937,1.932072401046753,7,,,
,143,,,,7,2.0485997200012207,0.34230324625968933,2.0485997200012207
6.976011711089562e-05,144,,,,,,,
,161,1.8711334466934204,0.36155590415000916,1.8711334466934204,8,,,
,161,,,,8,1.9801769256591797,0.35271990299224854,1.9801769256591797
7.756057594773846e-05,162,,,,,,,
,179,1.8066233396530151,0.3857205808162689,1.8066233396530151,9,,,
,179,,,,9,1.9229106903076172,0.35214120149612427,1.9229106903076172
8.622713073414218e-05,180,,,,,,,
,197,1.7500379085540771,0.38583025336265564,1.7500379085540771,10,,,
,197,,,,10,1.8569849729537964,0.3712383806705475,1.8569849729537964
9.574281628213076e-05,198,,,,,,,
,215,1.6613614559173584,0.3719748556613922,1.6613614559173584,11,,,
,215,,,,11,1.80026113986969,0.3816550672054291,1.80026113986969
0.0001060890051903866,216,,,,,,,
,233,1.6264902353286743,0.41664838790893555,1.6264902353286743,12,,,
,233,,,,12,1.778693675994873,0.37355324625968933,1.778693675994873
0.00011724544430826464,234,,,,,,,
,251,1.5725018978118896,0.39281272888183594,1.5725018978118896,13,,,
,251,,,,13,1.6967108249664307,0.40306714177131653,1.6967108249664307
0.00012919029438228423,252,,,,,,,
,269,1.4936236143112183,0.4134312868118286,1.4936236143112183,14,,,
,269,,,,14,1.6592711210250854,0.3940972685813904,1.6592711210250854
0.00014190017280749524,270,,,,,,,
,287,1.5039544105529785,0.42385026812553406,1.5039544105529785,15,,,
,287,,,,15,1.6176005601882935,0.40248844027519226,1.6176005601882935
0.00015535019940002325,288,,,,,,,
,305,1.4612884521484375,0.399027556180954,1.4612884521484375,16,,,
,305,,,,16,1.591439962387085,0.40914347767829895,1.591439962387085
0.00016951404510119953,306,,,,,,,
,323,1.4691132307052612,0.45455875992774963,1.4691132307052612,17,,,
,323,,,,17,1.5767902135849,0.4184027910232544,1.5767902135849
0.0001843639835179292,324,,,,,,,
,341,1.4232510328292847,0.41354095935821533,1.4232510328292847,18,,,
,341,,,,18,1.514840006828308,0.42910876870155334,1.514840006828308
0.0001998709451984077,342,,,,,,,
,359,1.3699756860733032,0.4685238301753998,1.3699756860733032,19,,,
,359,,,,19,1.4833474159240723,0.44675925374031067,1.4833474159240723
0.00021600457453693745,360,,,,,,,
,377,1.3472847938537598,0.42019450664520264,1.3472847938537598,20,,,
,377,,,,20,1.4367586374282837,0.4525463581085205,1.4367586374282837
0.00023273328919645243,378,,,,,,,
,395,1.2796188592910767,0.47594502568244934,1.2796188592910767,21,,,
,395,,,,21,1.3676323890686035,0.4722222089767456,1.3676323890686035
0.00025002434193242525,396,,,,,,,
,413,1.1989119052886963,0.5490970015525818,1.1989119052886963,22,,,
,413,,,,22,1.353387475013733,0.47800925374031067,1.353387475013733
0.00026784388469713665,414,,,,,,,
,431,1.2064502239227295,0.4934561550617218,1.2064502239227295,23,,,
,431,,,,23,1.3353432416915894,0.4725116193294525,1.3353432416915894
0.00028615703489881766,432,,,,,,,
,449,1.1811271905899048,0.506763219833374,1.1811271905899048,24,,,
,449,,,,24,1.3055962324142456,0.49074071645736694,1.3055962324142456
0.00030492794368596236,450,,,,,,,
,467,1.1659902334213257,0.5240549445152283,1.1659902334213257,25,,,
,467,,,,25,1.2380121946334839,0.4985533058643341,1.2380121946334839
0.00032411986612313685,468,,,,,,,
,485,1.0954595804214478,0.534912645816803,1.0954595804214478,26,,,
,485,,,,26,1.1979670524597168,0.5425347685813904,1.1979670524597168
0.00034369523312091665,486,,,,,,,
,503,1.0258699655532837,0.6177158355712891,1.0258699655532837,27,,,
,503,,,,27,1.2158416509628296,0.5179398059844971,1.2158416509628296
0.0003636157249791435,504,,,,,,,
,521,1.053675889968872,0.5732616186141968,1.053675889968872,28,,,
,521,,,,28,1.1212400197982788,0.5477430820465088,1.1212400197982788
0.00038384234639953754,522,,,,,,,
,539,1.0802817344665527,0.5664984583854675,1.0802817344665527,29,,,
,539,,,,29,1.0920859575271606,0.5653935074806213,1.0920859575271606
0.00040433550282082515,540,,,,,,,
,557,0.9415377378463745,0.6010820865631104,0.9415377378463745,30,,,
,557,,,,30,1.0641498565673828,0.5737848281860352,1.0641498565673828
0.0004250550779269517,558,,,,,,,
,575,0.9739722013473511,0.6078453063964844,0.9739722013473511,31,,,
