dataset,config,expected_bytes,actual_bytes,match,pt_file_bytes,container_overhead_bytes,fp32_ckpt_bytes,pct_of_fp32,weights_int8_bytes,weight_scales_bytes,biases_bytes,pos_encoding_bytes,fx_params_bytes,act_scales_bytes,other_bytes,total_bytes
DVS128_11,fx16_scales,644499,644499,True,698853,54284,1973464,32.65825979090574,445312,6892,16812,112896,62464,123,70,644569
DVS128_11,fx_nonlinear,620183,620183,True,675445,55192,1973464,31.426111649363758,445312,13740,16812,112896,31259,164,70,620253
DVS128_11,fx_nonlinear_lndyn,620183,620183,True,676437,56184,1973464,31.426111649363758,445312,13740,16812,112896,31259,164,70,620253
DVS128_11,fx_nonlinear_ln32,620183,620183,True,677061,56804,1973464,31.426111649363758,445312,13740,16812,112896,31259,164,74,620257
DVS128_11,fx_nonlinear_lnstepq,620183,620183,True,688629,68372,1973464,31.426111649363758,445312,13740,16812,112896,31259,164,74,620257
DVS128_11,all,528625,528625,True,581923,53228,1973464,26.786655343092146,445312,6892,16812,28227,31259,123,70,528695
DVS128_11,all_lndyn,528625,528625,True,583369,54674,1973464,26.786655343092146,445312,6892,16812,28227,31259,123,70,528695
DVS128_11,all_lnstepq,528625,528625,True,595563,66864,1973464,26.786655343092146,445312,6892,16812,28227,31259,123,74,528699
DVS128_11,all_ln32,528625,528625,True,584056,55357,1973464,26.786655343092146,445312,6892,16812,28227,31259,123,74,528699
DVS128_11,all_ln32_splitpos,528628,528628,True,585693,56991,1973464,26.78680736005318,445312,6892,16812,28227,31259,126,74,528702
DVS128_11,all_ln32_ctr16,528625,528625,True,600350,71638,1973464,26.786655343092146,445312,6892,16812,28227,31259,123,87,528712
DVS128_11,all_ln32_ctr32,528625,528625,True,600350,71638,1973464,26.786655343092146,445312,6892,16812,28227,31259,123,87,528712
DVS128_11,all_ln24,528628,528628,True,599867,71152,1973464,26.78680736005318,445312,6892,16812,28227,31259,126,87,528715
DVS128_11,all_ln24_guard2,528628,528628,True,600889,72174,1973464,26.78680736005318,445312,6892,16812,28227,31259,126,87,528715
DVS128_11,all_ln18_guard2,528628,528628,True,601529,72814,1973464,26.78680736005318,445312,6892,16812,28227,31259,126,87,528715
DVS128_11,all_ln20_guard2,528628,528628,True,601529,72814,1973464,26.78680736005318,445312,6892,16812,28227,31259,126,87,528715
DVS128_11,all_ln22_guard2,528628,528628,True,601529,72814,1973464,26.78680736005318,445312,6892,16812,28227,31259,126,87,528715
DVS128_11,deploy_nosplit,528625,528625,True,601054,72342,1973464,26.786655343092146,445312,6892,16812,28227,31259,123,87,528712
DVS128_11,deploy_gelu_q411,528625,528625,True,601344,72632,1973464,26.786655343092146,445312,6892,16812,28227,31259,123,87,528712
