dataset,version,accuracy_real,n_eval_samples,real_pt_bytes,payload_raw_bytes,real_pt_mb,payload_raw_mb,accuracy_fake_quant,accuracy_diff_pp
DVS128_10,int8_w8a8_static+outproj,0.9772727272727273,264,688919,651128,0.6570043563842773,0.6209640502929688,0.9772727272727272,-1.1102230246251565e-14
DVS128_10,int8_w8a8_static+qk_mac,0.9772727272727273,264,688944,651128,0.6570281982421875,0.6209640502929688,0.9772727272727272,-1.1102230246251565e-14
DVS128_10,int8_w8a8_static+qkv_mac,0.9734848484848485,264,689111,651128,0.6571874618530273,0.6209640502929688,0.9734848484848484,-1.1102230246251565e-14
DVS128_11,int8_w8a8_static+outproj,0.9513888888888888,288,689047,651268,0.6571264266967773,0.6210975646972656,0.9513888888888888,0.0
DVS128_11,int8_w8a8_static+qk_mac,0.9583333333333334,288,689072,651268,0.6571502685546875,0.6210975646972656,0.9583333333333334,0.0
DVS128_11,int8_w8a8_static+qkv_mac,0.9548611111111112,288,689239,651268,0.6573095321655273,0.6210975646972656,0.9548611111111112,0.0
ASL_DVS,int8_w8a8_static+outproj,0.999553504985861,20157,884729,847296,0.8437433242797852,0.80804443359375,0.999553504985861,0.0
ASL_DVS,int8_w8a8_static+qk_mac,0.9997023366572406,20157,884691,847296,0.8437070846557617,0.80804443359375,0.9997023366572406,0.0
ASL_DVS,int8_w8a8_static+qkv_mac,0.999553504985861,20157,884921,847296,0.8439264297485352,0.80804443359375,0.999553504985861,0.0
