site,calls,kind,bits,dynamic,per_call,frac_bits,on_grid,max_abs_in,max_abs_out,worst_grid_err_lsb,saturated_elems,total_elems,float32_exact,worst_bits_needed,saturated_pct
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.in,60,fx16,16,False,False,9,True,42.95862579345703,42.958984375,0.0,0,214548480,True,15.424887980797486,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.softmax.out,60,fx16,16,False,False,14,True,1.0,1.0,0.0,0,214548480,True,15.0,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.in,60,fx16,24,False,False,4,True,50944.03515625,50944.0625,0.0,0,70778880,True,20.63662639049467,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.centered,60,fx16,24,False,False,4,True,50435.04296875,50435.0625,0.0,0,70778880,True,20.62213942493342,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.hat,60,fx16,16,False,False,12,True,5.185368537902832,5.185302734375,0.0,0,70778880,True,15.37442822059718,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_att.out,60,fx16,16,False,False,12,True,5.189676284790039,5.189697265625,0.0,0,70778880,True,15.375650383261384,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.in,60,fx16,16,False,False,11,True,5.973428726196289,5.9736328125,0.0,0,70778880,True,14.578608560737752,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.out,60,fx16,16,False,False,11,True,5.91845703125,5.91845703125,0.0,0,70778880,True,14.565221107694228,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.in,60,fx16,24,False,False,18,True,5.91845703125,5.91845703125,0.0,0,70778880,True,21.565221107694228,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.centered,60,fx16,24,False,False,18,True,5.560512542724609,5.560512542724609,0.0,0,70778880,True,21.475217870137048,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.hat,60,fx16,16,False,False,11,True,8.008320808410645,8.00830078125,0.0,0,70778880,True,15.00149616092074,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_2.out,60,fx16,16,False,False,11,True,8.289748191833496,8.28955078125,0.0,0,70778880,True,15.051293922803923,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu2.in,60,fx16,16,False,False,11,True,5.052733421325684,5.052734375,0.0,0,70778880,True,14.33706433868474,0.0
backbone.proc_memory_blocks.0.latent_attentions.0.gelu2.out,60,fx16,16,False,False,11,True,4.481428623199463,4.4814453125,0.0,0,70778880,True,14.163964091412273,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.in,60,fx16,24,False,False,4,True,50942.90625,50942.875,0.0,0,70778880,True,20.636592761053972,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.centered,60,fx16,24,False,False,4,True,50433.84375,50433.875,0.0,0,70778880,True,20.62210545609418,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.hat,60,fx16,16,False,False,12,True,5.165665149688721,5.165771484375,0.0,0,70778880,True,15.368983825095334,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.out,60,fx16,16,False,False,12,True,5.156508922576904,5.156494140625,0.0,0,70778880,True,15.366390522052978,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.in,60,fx16,24,False,False,4,True,50942.90625,50942.875,0.0,0,70778880,True,20.636592761053972,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.centered,60,fx16,24,False,False,4,True,50433.84375,50433.875,0.0,0,70778880,True,20.62210545609418,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.hat,60,fx16,16,False,False,12,True,5.165665149688721,5.165771484375,0.0,0,70778880,True,15.368983825095334,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.out,60,fx16,16,False,False,12,True,5.774611949920654,5.774658203125,0.0,0,70778880,True,15.529735557221406,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.softmax.in,60,fx16,16,False,False,9,True,51.89924621582031,51.8984375,0.0,0,214548480,True,15.697619199078714,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.softmax.out,60,fx16,16,False,False,14,True,1.0,1.0,0.0,0,214548480,True,15.0,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.in,60,fx16,24,False,False,4,True,50942.6640625,50942.6875,0.0,0,70778880,True,20.636587451070625,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.centered,60,fx16,24,False,False,4,True,50433.64453125,50433.625,0.0,0,70778880,True,20.622098304657687,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.hat,60,fx16,16,False,False,12,True,5.09147310256958,5.091552734375,0.0,0,70778880,True,15.348105691776588,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.out,60,fx16,16,False,False,12,True,4.909460544586182,4.909423828125,0.0,0,70778880,True,15.295553719227913,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.gelu1.in,60,fx16,16,False,False,11,True,5.727402210235596,5.7275390625,0.0,0,70778880,True,14.51791539291587,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.gelu1.out,60,fx16,16,False,False,11,True,4.4653143882751465,4.46533203125,0.0,0,70778880,True,14.158767454636079,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_2.in,60,fx16,24,False,False,18,True,4.46533203125,4.46533203125,0.0,0,70778880,True,21.158767454636077,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_2.centered,60,fx16,24,False,False,18,True,4.202995300292969,4.202995300292969,0.0,0,70778880,True,21.07141784329745,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_2.hat,60,fx16,16,False,False,11,True,8.308083534240723,8.30810546875,0.0,0,70778880,True,15.054519530852371,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_2.out,60,fx16,16,False,False,11,True,8.436872482299805,8.43701171875,0.0,0,70778880,True,15.076732105338612,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.gelu2.in,60,fx16,16,False,False,11,True,5.24855375289917,5.24853515625,0.0,0,70778880,True,14.391914828931892,0.0
backbone.proc_memory_blocks.0.latent_attentions.1.gelu2.out,60,fx16,16,False,False,11,True,4.278768062591553,4.27880859375,0.0,0,70778880,True,14.097209143550335,0.0
backbone.proc_embs_block.layer_norm.in,3,fx16,24,False,False,2,True,254711.84375,254711.75,0.0,0,3538944,True,20.958505987938707,0.0
backbone.proc_embs_block.layer_norm.centered,3,fx16,24,False,False,2,True,252166.5,252166.5,0.0,0,3538944,True,20.94401710262461,0.0
backbone.proc_embs_block.layer_norm.hat,3,fx16,16,False,False,12,True,4.536903381347656,4.536865234375,0.0,0,3538944,True,15.18169580569119,0.0
backbone.proc_embs_block.layer_norm.out,3,fx16,16,False,False,12,True,5.448428630828857,5.448486328125,0.0,0,3538944,True,15.44585548305998,0.0
backbone.proc_embs_block.relu.in,3,int8,16,False,False,,True,7.933095932006836,7.919212341308594,0.0,0,3538944,True,7.882643049361842,0.0
models_clf.0.relu.in,3,int8,16,False,False,,True,13.346050262451172,13.394195556640625,0.0,0,36864,True,7.882643049361842,0.0
models_clf.0.log_softmax.in,3,fx16,16,False,False,10,True,16.994098663330078,16.994140625,0.0,0,3168,True,15.08696550311009,0.0
