site,calls,kind,bits,dynamic,per_call,frac_bits,on_grid,max_abs_in,max_abs_out,worst_grid_err_lsb,saturated_elems,total_elems,float32_exact,worst_bits_needed,saturated_pct
backbone.event_projection.seq_init.1.in,3,fx16,16,False,False,11,True,11.696969032287598,11.69677734375,0.0,0,66145920,True,15.54803919301975,0.0
backbone.event_projection.seq_init.1.out,3,fx16,16,False,False,11,True,7.30810546875,7.30810546875,0.0,0,66145920,True,14.869497454729581,0.0
backbone.preproc_block_events.seq_init.1.in,3,fx16,16,False,False,11,True,8.137100219726562,8.13720703125,0.0,0,88194560,True,15.02453369699761,0.0
backbone.preproc_block_events.seq_init.1.out,3,fx16,16,False,False,12,True,5.6875,5.6875,0.0,0,88194560,True,15.507794640198696,0.0
backbone.proc_event_blocks.0.seq_init.2.in,60,int8,16,False,False,,True,4.064533710479736,4.067173004150391,0.0,0,88194560,True,7.832890014164741,0.0
backbone.proc_event_blocks.0.seq_init.5.in,60,int8,16,False,False,,True,1.5934422016143799,1.6008567810058594,0.0,0,88194560,True,7.658211482751795,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.in,60,fx16,24,False,False,18,True,5.6875,5.6875,0.0,0,88194560,True,21.507794640198696,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.centered,60,fx16,24,False,False,18,True,5.171128273010254,5.1711273193359375,0.0,0,88194560,True,21.37047882613503,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.hat,60,fx16,16,False,False,11,True,7.754038333892822,7.75390625,0.0,0,88194560,True,14.95492329203032,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.out,60,fx16,16,False,False,11,True,8.665481567382812,8.66552734375,0.0,0,88194560,True,15.115287547777047,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.in,60,fx16,24,False,False,5,True,50944.0,50944.0,0.0,0,70778880,True,21.63662462054365,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.centered,60,fx16,24,False,False,5,True,50434.9375,50434.9375,0.0,0,70778880,True,21.622135849303795,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.hat,60,fx16,16,False,False,12,True,4.9217610359191895,4.921875,0.0,0,70778880,True,15.29920801838728,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.out,60,fx16,16,False,False,12,True,5.150547504425049,5.150634765625,0.0,0,70778880,True,15.364750241380696,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.in,60,fx16,16,False,False,10,True,21.35136604309082,21.3515625,0.0,0,266795520,True,15.416269744523207,0.0
backbone.proc_memory_blocks.0.cross_attention.softmax.out,60,fx16,16,False,False,14,True,1.0,1.0,0.0,0,266795520,True,15.0,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.in,60,fx16,24,False,False,5,True,50944.7421875,50944.75,0.0,0,70778880,True,21.63664585981257,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.centered,60,fx16,24,False,False,5,True,50435.7421875,50435.75,0.0,0,70778880,True,21.62215909073795,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.hat,60,fx16,16,False,False,12,True,5.074860572814941,5.074951171875,0.0,0,70778880,True,15.343393941621423,0.0
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.out,60,fx16,16,False,False,12,True,4.963152885437012,4.963134765625,0.0,0,70778880,True,15.311251629138196,0.0
backbone.proc_memory_blocks.0.cross_attention.gelu1.in,60,fx16,16,False,False,12,True,4.665818691253662,4.665771484375,0.0,0,70778880,True,15.222115650135624,0.0
