dataset,accuracy_fp32,accuracy_pos_zeroed,delta_pp,n_eval_samples,max_abs_projection,max_abs_posenc,rms_projection,rms_posenc,step_shared,step_posenc_own,posenc_levels_used,posenc_zeroed_frac,sqnr_posenc_shared_db,sqnr_posenc_split_db,sqnr_projection_shared_db,out_norm_projection,out_norm_posenc,shared_n_positions,shared_code_dim,shared_min_code_distance,shared_quant_noise_rms,shared_separation_margin,shared_positions_identifiable,split_n_positions,split_code_dim,split_min_code_distance,split_quant_noise_rms,split_separation_margin,split_positions_identifiable
DVS128_10,0.9810606060606061,0.3939393939393939,-58.71212121212122,264,7.776855564117431,1.1778303384780884,0.14536957144737245,0.6958855628967285,0.08986835780106192,0.009274254633685735,27.0,0.066917185485363,28.731130599975586,48.30133056640625,14.89750862121582,869.9617797851563,1203.2370635986329,441,64,4.432645797729492,0.20648033916950226,21.467641013949898,1.0,441,64,4.432645797729492,0.02197415381669998,201.7208869431303,1.0
ASL_DVS,0.9996527261001141,0.22225529592697327,-77.73974301731408,20157,8.042426764965057,0.711771160364151,0.28859053552150726,0.25824330002069473,0.11960911187599962,0.005604497325701977,11.75,0.18658263236284256,17.5506429374218,44.11895275115967,18.467852026224136,1561.1371459960938,1322.3890533447266,1200,64,0.6425512433052063,0.27565670013427734,2.330983585714434,1.0,1200,64,0.6425512433052063,0.012954160571098328,49.60192053962838,1.0
