name,numel,max_abs,min_abs_nonzero,dynamic_range,frac_bits,q_format,step,rel_err_max,rel_err_mean,group,dataset
backbone.proc_memory_blocks.0.latent_attentions.1.attention.out_proj,128,0.004382165148854256,0.0019425766076892614,2.2558519090101368,22.0,Q-7.22,2.384185791015625e-07,4.4428528781281784e-05,1.827555024647154e-05,"weight_scale (per-channel, per-layer exponent)",ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.linear1,128,0.006299084983766079,0.0030189468525350094,2.0865173490804376,22.0,Q-7.22,2.384185791015625e-07,3.625719546107575e-05,1.728434108372312e-05,"weight_scale (per-channel, per-layer exponent)",ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.linear2,128,0.00594634423032403,0.00332033634185791,1.7908861085430654,22.0,Q-7.22,2.384185791015625e-07,3.5902776289731264e-05,1.3948767445981503e-05,"weight_scale (per-channel, per-layer exponent)",ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.linear3,128,0.005814490839838982,0.003082208801060915,1.8864688329478518,22.0,Q-7.22,2.384185791015625e-07,3.3744094253052026e-05,1.4799389646213967e-05,"weight_scale (per-channel, per-layer exponent)",ASL_DVS
backbone.proc_embs_block.linear1,128,0.0059569841250777245,0.002863883273676038,2.080037332468313,22.0,Q-7.22,2.384185791015625e-07,3.5106688301311806e-05,1.672203688940499e-05,"weight_scale (per-channel, per-layer exponent)",ASL_DVS
models_clf.0.linear_1,128,0.00643318984657526,0.0007795534329488873,8.25240397215602,22.0,Q-7.22,2.384185791015625e-07,9.662033698987216e-05,1.647702265472617e-05,"weight_scale (per-channel, per-layer exponent)",ASL_DVS
models_clf.0.linear_2,24,0.02127314731478691,0.0061841621063649654,3.439940116202939,20.0,Q-5.20,9.5367431640625e-07,6.724201375618577e-05,2.6038562282337807e-05,"weight_scale (per-channel, per-layer exponent)",ASL_DVS
all nn.Linear inputs,16,0.1384543627500534,0.017366813495755196,7.972352716512703,17.0,Q-2.17,7.62939453125e-06,0.00014305990771390498,6.607245450140908e-05,activation_scale (per-tensor),ASL_DVS
attention Q/K/V/out_proj,21,0.0802612453699112,0.01444889884442091,5.55483474790206,18.0,Q-3.18,3.814697265625e-06,9.178797336062416e-05,4.201663614367135e-05,activation_scale (per-tensor),ASL_DVS
backbone.pos_encoding,76800,0.7571404576301575,3.0484261515084654e-07,2483709.25,,INT8,0.005961735886851634,1.0,0.03487006202340126,positional encoding (-> INT8),ASL_DVS
