dataset,config,int32_bias,int8_pos_enc,fx16_scales,fx_nonlinear,ln_dynamic_exp,accuracy,n_eval_samples,eval_time_s,file_bytes,fp32_ckpt_bytes,max_abs_bias_int,bytes_weights_int8,bytes_weight_scales,bytes_biases,bytes_pos_encoding,bytes_fx_params,bytes_act_scales,bytes_other,bytes_total,ln_bits,split_posenc_scale,ln_per_step_q,ln_centered_bits,ln_headroom_bits,gelu_frac_bits
DVS128_11,all_lnstepq,True,True,True,True,False,0.9548611111111112,288,9.21770191192627,595563,1973464,8228.0,445312,6892,16812,28227,31259,123,74,528699,16.0,False,True,,,
DVS128_11,all_ln32,True,True,True,True,False,0.9548611111111112,288,8.93715524673462,584056,1973464,8228.0,445312,6892,16812,28227,31259,123,74,528699,32.0,False,,,,
DVS128_11,all_ln32_splitpos,True,True,True,True,False,0.9583333333333334,288,9.137162446975708,585693,1973464,8228.0,445312,6892,16812,28227,31259,126,74,528702,32.0,True,,,,
DVS128_11,all_ln32_ctr16,True,True,True,True,False,0.9513888888888888,288,9.57473373413086,600350,1973464,8228.0,445312,6892,16812,28227,31259,123,87,528712,32.0,False,False,16.0,,
DVS128_11,all_ln32_ctr32,True,True,True,True,False,0.9548611111111112,288,8.75829029083252,600350,1973464,8228.0,445312,6892,16812,28227,31259,123,87,528712,32.0,False,False,32.0,,
DVS128_11,all_ln24,True,True,True,True,False,0.9618055555555556,288,8.233795881271362,599867,1973464,8228.0,445312,6892,16812,28227,31259,126,87,528715,24.0,True,False,24.0,0.0,
DVS128_11,all_ln24_guard2,True,True,True,True,False,0.9583333333333334,288,8.096174001693726,600889,1973464,8228.0,445312,6892,16812,28227,31259,126,87,528715,24.0,True,False,24.0,2.0,
DVS128_11,all_ln18_guard2,True,True,True,True,False,0.9340277777777778,288,8.060355424880981,601529,1973464,8228.0,445312,6892,16812,28227,31259,126,87,528715,18.0,True,False,18.0,2.0,
DVS128_11,all_ln20_guard2,True,True,True,True,False,0.9513888888888888,288,9.278111696243286,601529,1973464,8228.0,445312,6892,16812,28227,31259,126,87,528715,20.0,True,False,20.0,2.0,
DVS128_11,all_ln22_guard2,True,True,True,True,False,0.9548611111111112,288,8.83812427520752,601529,1973464,8228.0,445312,6892,16812,28227,31259,126,87,528715,22.0,True,False,22.0,2.0,
DVS128_11,deploy_nosplit,True,True,True,True,False,0.9583333333333334,288,9.337594032287598,601054,1973464,8228.0,445312,6892,16812,28227,31259,123,87,528712,24.0,False,False,24.0,2.0,
