dataset,case,accuracy_real,n_eval_samples,real_pt_bytes,payload_raw_bytes,fake_pt_mb,real_pt_mb,payload_raw_mb,estimated_model_size_mb,accuracy_fake_quant,accuracy_diff_pp
ASL_DVS,int8_weightonly_pertensor,0.9996527261001141,20157,867493,833592,2.105067253112793,0.827305793762207,0.7949752807617188,0.7949752807617188,0.999652726100114,-1.1102230246251565e-14
ASL_DVS,int8_weightonly_perchannel,0.9996031155429875,20157,881739,847296,2.1051435470581055,0.8408918380737305,0.80804443359375,0.80804443359375,0.9996031155429876,1.1102230246251565e-14
ASL_DVS,int8_w8a8_static,0.9995038944287344,20157,882383,847296,2.1059675216674805,0.8415060043334961,0.80804443359375,0.80804443359375,0.9995038944287344,0.0
ASL_DVS,int4_weightonly_perchannel,0.999107009971722,20157,658187,623808,2.1051435470581055,0.6276960372924805,0.59490966796875,0.59490966796875,0.999107009971722,0.0
ASL_DVS,int4w_int8a,0.9992558416431017,20157,658321,623808,2.105586051940918,0.6278238296508789,0.59490966796875,0.59490966796875,0.9992558416431015,-1.1102230246251565e-14
DVS128_10,int8_weightonly_pertensor,0.9810606060606061,264,671669,637480,1.913187026977539,0.6405534744262695,0.6079483032226562,0.60791015625,0.981060606060606,-1.1102230246251565e-14
DVS128_10,int8_weightonly_perchannel,0.9810606060606061,264,685852,651128,1.913264274597168,0.6540794372558594,0.6209640502929688,0.6209259033203125,0.981060606060606,-1.1102230246251565e-14
DVS128_10,int8_w8a8_static,0.9772727272727273,264,686486,651128,1.914078712463379,0.6546840667724609,0.6209640502929688,0.6209259033203125,0.9772727272727272,-1.1102230246251565e-14
DVS128_10,int4_weightonly_perchannel,0.9734848484848485,264,463196,428536,1.913264274597168,0.4417381286621094,0.40868377685546875,0.4086456298828125,0.9734848484848484,-1.1102230246251565e-14
DVS128_10,int4w_int8a,0.9696969696969697,264,463315,428536,1.9136314392089844,0.4418516159057617,0.40868377685546875,0.4086456298828125,0.9696969696969696,-1.1102230246251565e-14
DVS128_11,int8_weightonly_pertensor,0.9583333333333334,288,671797,637616,1.913675308227539,0.6406755447387695,0.6080780029296875,0.6080360412597656,0.9583333333333334,0.0
DVS128_11,int8_weightonly_perchannel,0.9583333333333334,288,685980,651268,1.913752555847168,0.6542015075683594,0.6210975646972656,0.6210556030273438,0.9583333333333334,0.0
DVS128_11,int8_w8a8_static,0.9583333333333334,288,686614,651268,1.914566993713379,0.6548061370849609,0.6210975646972656,0.6210556030273438,0.9583333333333334,0.0
DVS128_11,int4_weightonly_perchannel,0.9618055555555556,288,463260,428612,1.913752555847168,0.4417991638183594,0.4087562561035156,0.4087142944335937,0.9618055555555556,0.0
DVS128_11,int4w_int8a,0.9548611111111112,288,463379,428612,1.9141197204589844,0.4419126510620117,0.4087562561035156,0.4087142944335937,0.9548611111111112,0.0
