lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
3.9999999999999996e-05,0,,,,,,,
,1259,1.9913078546524048,0.3773399293422699,1.9913078546524048,0,,,
,1259,,,,0,2.5880086421966553,0.2296570986509323,2.5880086421966553
4.046981127041262e-05,1260,,,,,,,
,2519,1.531503438949585,0.519987940788269,1.531503438949585,1,,,
,2519,,,,1,1.915424108505249,0.39831289649009705,1.915424108505249
4.18783254040265e-05,2520,,,,,,,
,3779,1.1407215595245361,0.6308473944664001,1.1407215595245361,2,,,
,3779,,,,2,1.5131663084030151,0.5144451856613159,1.5131663084030151
4.422278516828099e-05,3780,,,,,,,
,5039,0.8061317205429077,0.7407312989234924,0.8061317205429077,3,,,
,5039,,,,3,1.1958812475204468,0.612164318561554,1.1958812475204468
4.749860117309176e-05,5040,,,,,,,
,6299,0.6422247886657715,0.7904349565505981,0.6422247886657715,4,,,
,6299,,,,4,0.9518813490867615,0.6901132464408875,0.9518813490867615
5.169936085479667e-05,6300,,,,,,,
,7559,0.4567040801048279,0.8552609086036682,0.4567040801048279,5,,,
,7559,,,,5,0.7730290293693542,0.7490442395210266,0.7730290293693542
5.6816841029051204e-05,7560,,,,,,,
,8819,0.3842123746871948,0.8814704418182373,0.3842123746871948,6,,,
,8819,,,,6,0.6313531994819641,0.7970072031021118,0.6313531994819641
6.284102398809689e-05,8820,,,,,,,
,10079,0.3002219796180725,0.9076160192489624,0.3002219796180725,7,,,
,10079,,,,7,0.5355033278465271,0.8296369314193726,0.5355033278465271
6.976011711089562e-05,10080,,,,,,,
,11339,0.22267168760299683,0.9353393316268921,0.22267168760299683,8,,,
,11339,,,,8,0.4519939720630646,0.8571236729621887,0.4519939720630646
7.756057594773846e-05,11340,,,,,,,
,12599,0.19398170709609985,0.94352126121521,0.19398170709609985,9,,,
,12599,,,,9,0.37063249945640564,0.8835101127624512,0.37063249945640564
8.622713073414218e-05,12600,,,,,,,
,13859,0.15054017305374146,0.9549742937088013,0.15054017305374146,10,,,
,13859,,,,10,0.3116788864135742,0.9025958180427551,0.3116788864135742
9.574281628213076e-05,13860,,,,,,,
,15119,0.1263449341058731,0.9625459313392639,0.1263449341058731,11,,,
,15119,,,,11,0.2661847770214081,0.916241466999054,0.2661847770214081
0.0001060890051903866,15120,,,,,,,
,16379,0.11694812774658203,0.965467631816864,0.11694812774658203,12,,,
,16379,,,,12,0.22373726963996887,0.9299031496047974,0.22373726963996887
0.00011724544430826464,16380,,,,,,,
,17639,0.1032261773943901,0.9679403305053711,0.1032261773943901,13,,,
,17639,,,,13,0.1952766329050064,0.9389780163764954,0.1952766329050064
0.00012919029438228423,17640,,,,,,,
,18899,0.07587601244449615,0.9772929549217224,0.07587601244449615,14,,,
,18899,,,,14,0.1697719693183899,0.9468398094177246,0.1697719693183899
0.00014190017280749524,18900,,,,,,,
