lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
3.9999999999999996e-05,0,,,,,,,
,15,2.270819664001465,0.1569230854511261,2.270819664001465,0,,,
,15,,,,0,2.2832374572753906,0.1318359375,2.2832374572753906
4.046981127041262e-05,16,,,,,,,
,31,2.208651542663574,0.2838461697101593,2.208651542663574,1,,,
,31,,,,1,2.240835189819336,0.2568359375,2.240835189819336
4.18783254040265e-05,32,,,,,,,
,47,2.1618223190307617,0.3115384578704834,2.1618223190307617,2,,,
,47,,,,2,2.195376396179199,0.2939453125,2.195376396179199
4.422278516828099e-05,48,,,,,,,
,63,2.107736825942993,0.32692307233810425,2.107736825942993,3,,,
,63,,,,3,2.14888334274292,0.32958984375,2.14888334274292
4.749860117309176e-05,64,,,,,,,
,79,2.0467588901519775,0.32384616136550903,2.0467588901519775,4,,,
,79,,,,4,2.098278760910034,0.33349609375,2.098278760910034
5.169936085479667e-05,80,,,,,,,
,95,1.984472632408142,0.3453845977783203,1.984472632408142,5,,,
,95,,,,5,2.0390896797180176,0.34716796875,2.0390896797180176
5.6816841029051204e-05,96,,,,,,,
,111,1.9184679985046387,0.3761538565158844,1.9184679985046387,6,,,
,111,,,,6,1.9867864847183228,0.35986328125,1.9867864847183228
6.284102398809689e-05,112,,,,,,,
,127,1.8576080799102783,0.3700000047683716,1.8576080799102783,7,,,
,127,,,,7,1.934909462928772,0.35986328125,1.934909462928772
6.976011711089562e-05,128,,,,,,,
,143,1.8124006986618042,0.35769233107566833,1.8124006986618042,8,,,
,143,,,,8,1.882153868675232,0.375,1.882153868675232
7.756057594773846e-05,144,,,,,,,
,159,1.7558494806289673,0.36384618282318115,1.7558494806289673,9,,,
,159,,,,9,1.7945524454116821,0.39013671875,1.7945524454116821
8.622713073414218e-05,160,,,,,,,
,175,1.7114862203598022,0.39769232273101807,1.7114862203598022,10,,,
,175,,,,10,1.765537977218628,0.37646484375,1.765537977218628
9.574281628213076e-05,176,,,,,,,
,191,1.6370147466659546,0.3730769455432892,1.6370147466659546,11,,,
,191,,,,11,1.7292133569717407,0.373046875,1.7292133569717407
0.0001060890051903866,192,,,,,,,
,207,1.5888339281082153,0.4007692337036133,1.5888339281082153,12,,,
,207,,,,12,1.6683151721954346,0.37451171875,1.6683151721954346
0.00011724544430826464,208,,,,,,,
,223,1.5645796060562134,0.40076926350593567,1.5645796060562134,13,,,
,223,,,,13,1.6435037851333618,0.38232421875,1.6435037851333618
0.00012919029438228423,224,,,,,,,
,239,1.52073073387146,0.42538464069366455,1.52073073387146,14,,,
,239,,,,14,1.5660552978515625,0.41162109375,1.5660552978515625
0.00014190017280749524,240,,,,,,,
,255,1.474353313446045,0.3946153521537781,1.474353313446045,15,,,
,255,,,,15,1.5501328706741333,0.41552734375,1.5501328706741333
0.00015535019940002325,256,,,,,,,
,271,1.4560894966125488,0.4130769371986389,1.4560894966125488,16,,,
,271,,,,16,1.515695333480835,0.44091796875,1.515695333480835
0.00016951404510119953,272,,,,,,,
,287,1.4795782566070557,0.4069231152534485,1.4795782566070557,17,,,
,287,,,,17,1.4778716564178467,0.4296875,1.4778716564178467
0.0001843639835179292,288,,,,,,,
,303,1.3436366319656372,0.4161538779735565,1.3436366319656372,18,,,
,303,,,,18,1.4654829502105713,0.43505859375,1.4654829502105713
0.0001998709451984077,304,,,,,,,
,319,1.3765549659729004,0.4407692849636078,1.3765549659729004,19,,,
,319,,,,19,1.4216456413269043,0.44482421875,1.4216456413269043
0.00021600457453693745,320,,,,,,,
,335,1.2824978828430176,0.4376923441886902,1.2824978828430176,20,,,
,335,,,,20,1.3456358909606934,0.46923828125,1.3456358909606934
0.00023273328919645243,336,,,,,,,
,351,1.2041499614715576,0.4723077118396759,1.2041499614715576,21,,,
,351,,,,21,1.3353462219238281,0.455078125,1.3353462219238281
0.00025002434193242525,352,,,,,,,
,367,1.1182929277420044,0.5123077034950256,1.1182929277420044,22,,,
,367,,,,22,1.2795002460479736,0.4990234375,1.2795002460479736
0.00026784388469713665,368,,,,,,,
,383,1.1392064094543457,0.5276923179626465,1.1392064094543457,23,,,
,383,,,,23,1.3016552925109863,0.47705078125,1.3016552925109863
0.00028615703489881766,384,,,,,,,
,399,1.0628470182418823,0.5776923298835754,1.0628470182418823,24,,,
,399,,,,24,1.206629753112793,0.49462890625,1.206629753112793
0.00030492794368596236,400,,,,,,,
,415,1.0038186311721802,0.5992308259010315,1.0038186311721802,25,,,
,415,,,,25,1.168204665184021,0.52099609375,1.168204665184021
0.00032411986612313685,416,,,,,,,
,431,1.016951322555542,0.6053846478462219,1.016951322555542,26,,,
,431,,,,26,1.120575189590454,0.5234375,1.120575189590454
